,headline,date,final_news,url
10,विपक्षीतय् विरोधया हुनिं लोकसभाया मुँज्या स्थगित ,"Wed Aug 3, 2011  11:08 am",भारतया लोकसभाय् मंगलवाःनिसें न्ह्याःगु वर्षे अधिवेशनय् विपक्षी दलतय्सं विरोध यायेवं न्हापांगु न्हि हे संसदया मुँज्या स्थगित जूगु दु । विपक्षी दलं देशय् अप्वया वनाच्वंगु महंगी नियन्त्रणया लागि सरकारं माःकथं पलाः ल्ह्वःने मफूगु धासे मुँज्याय् पंगः थनाबिउगु खः । लोकसभाय् न्हापांगु न्हि निम्ह दुजःतय्त श्रद्धान्जली प्वंकूवं हे संसदय् न्ह्यसः तयेगु ई न्ह्याःगु खःसा विपक्षी दलया नेतातय्सं प्लेकार्ड ज्वनाः नायः लिक्क वनाः नारा थ्वयेकेवं मुँज्या अवरुद्ध जूगु खः ।,https://www.nepalmandal.com/content/15359.html
11,चीनया सिनच्याङय् चक्कुं सुयाः खुम्हेसित स्यात ,"Sun Jul 31, 2011  11:31 am",चीनया सिनच्याङ स्वायत्त प्रदेशय् लाःगु खासगर सहरय् निम्ह चक्कुधारीतय्सं अन्धाधुन्ध आक्रमण याःगु इलय् छम्ह चक्कुधारी नापं खुम्ह सीगु दु । निम्ह चक्कुधारीतय्सं सतकय् न्यासि वनाच्वंपिं लँजुवातय्त आक्रमण याये न्ह्यः छग: ट्रकयात बन्धक दयेकाः उगु हे ट्रकया ड्राइभरयात स्याना बिउगु खः । लिपा ट्रकं कुहांवयाः सतकय् जुयाच्वंपिं लँजुवातय्त अन्धाधुन्ध आक्रमण याःगु खः । आक्रमणय् लानाः प्यम्ह सर्वसाधारण सीगु खःसा लिपा सर्वसाधारणतय्सं हे अक्रमणकारीतय्त हमला यायेवं छम्ह अक्रमणकारी नं सीगु खः । मेम्ह आक्रमणकारीयात धाःसा प्रहरीं नियन्त्रणय् काःगु दु । स्थानीय प्रहरीतय्सं आक्रमणया बारे अनुसन्धान जुयाच्वंगु धासें छु कारणं आक्रमण याःगु धा:सा  सीकेमफुनीगु खँ धाःगु दु । सरकारी अधिकारीतय्सं वंगु जुलाई १८य् प्रहरी चौकी हमलाय् सर्वसाधारण सीगु कारणं थुगु आक्रमण जूगु अनुमान याःगु दु । सरकारं उगु चौकी आक्रमणय् सिनच्याङया जनजति युगुर जातिया 'आतंककारी'तय्सं याःगु द्वपं बिउगु दुसाः सर्वसाधारणतय्सं धा:सा शान्तिपूर्ण प्रदर्शनय् प्रहरीं गोलीं कयेकूगु द्वपं बिउगु दु । सिनच्याङ प्रान्तय् वंगु छुं दँ निसें स्थानीय युगुर जनजाति व हान जातित दथुइया तनाव अप्वया वनाच्वंगु दु । सन् २००९स निगू जाति दथुइ जूगु तनावय् निसः मनूत सीगु खः ।,https://www.nepalmandal.com/content/15301.html
12,साटा जाम्बियाया न्हूम्ह राष्ट्रपती ,"Sat Sep 24, 2011  2:04 am",प्रतिपक्षी नेता न्हय्प्यदँया माइकल साटा जाम्बियाया राष्ट्रपतीय निर्वाचनय् त्याकूगु दु । निवर्तमान राष्ट्रपति रुपिया बान्दालिसे चुनाव जूगु निन्हुतक्क धेंधेंबल्लाः रुपं मत ल्याखायेवं साटा त्यागु घोषणा जुगु ख । न्याय प्रमुख इर्नेष्ट साकालां न्ह्यगू क्षेत्रया भोट ल्याखय् ल्यंदनिगु हे इलय् पीस्वंगू प्रतिशत भोट ल्याखायेधुंका साटायात राष्ट्रपति घोषणा यागु ख । देय्भक्त मोर्चाया प्रमुख साटा राष्ट्रपतीय चुनावय् िझंप्यक्वःगु खुसिइ धेंधेंबल्लाः यायेधुंकाः त्यागु ख ।,https://www.nepalmandal.com/content/16403.html
13,रब्बानीया अन्तिम संस्कार ,"Fri Sep 23, 2011  10:54 pm",वंगु मंगलबा जूगु आत्मघाती तालिवान हमलाय् लाना सीम्ह आफगानिस्तानया पूर्व राष्ट्रपति बुराहानुद्दिन रब्बानीया थौं लिपांगु संस्कार यागु दु । आत्मघाती तालिवान हमलाकारीं रब्बानीया छेँय् हे स्यागु ख । रब्बानीया लिपांगु संस्कारया िदं अफगानिस्तानया राजधानी काबुलय् कडा सुरक्षा ब्यवस्था छ्यगु ख ।,https://www.nepalmandal.com/content/16400.html
14,गुयाना एयरपोर्टय् बिमान दुर्घटना ,"Sun Jul 31, 2011  11:33 am",संयुत्त राज्य अमेरिकाया न्यूयोर्क सहरं ब्वःगु छगः यात्रु बहाक बिमान गुयानाय् दुर्घटना जूगु दु । न्यूयोर्कं र्तिनिडा जुयाः ब्वःगु बिमान गुयानाया राजधानी जर्ज टाउनया मुख्य विमानस्थलय् दुर्घटना जूगु खः । ल्यान्डिङ यायेगु इलय् निगू टुक्रा जुयाः विमान दुर्घटना जूसां फुक्क थें यात्रुत धाःसा सशुसल दुगु खँ अधिकारीतय्सं धाःगु दु । खुम्ह विमान चालक सहित सच्छि व ६३म्ह मनूत सवार उगु विमान दुर्घटना लिपा छम्ह यात्रुया तुति त्वःदुगु दु । विमान ल्यान्डिङ यायेगु इलय् विमान रनवेलय् न्याःगु खः । दुर्घटना जुइवं यात्रुत इर्मजेन्सी गेट चायेकाः बिमानं पिहांवःगु खः ।,https://www.nepalmandal.com/content/15302.html
15,न्यादँलिपा सालिट प्यलेष्टाइनपाखें मुक्त ,"Wed Oct 19, 2011  10:25 am",इजरायलया सेना जिलाद सालिट न्यादँलिपा प्यालेष्टाइनपाखें मंगलवाः मुक्त जूगु दु । द्वःछिम्ह स्वयां अप्वः प्यालेष्टाइनया बन्दीतय्त इजरायलं त्वःतीगु जूगुलिं सालिटयात प्यालेष्टाइनं मुक्त याःगु खः । सन् २००६य् सालिटयात हमास विद्राहीतय्सं कब्जाय् काःगु खः । उखे इजरायलं नं मंगलवाः न्हापांखुसी प्यसः व न्हय्न्हय्म्ह प्यालेस्टाइनया बन्दीतय्त त्वःतूगु दु । इजिप्टया सुरक्षाकःमित नापं मुक्त जूइपिं बन्दीत फुक्क हे मिसापिं जूगु अन्तर्राष्ट्रिय समाचार एजेन्सीतय्सं न्ह्यथंगु खः । ल्यँदुपिं न्यासः व न्यय्न्याम्ह बन्दीत धाःसा मेगु लाय् मुक्त याइगु ज्याझ्वः दु ।,https://www.nepalmandal.com/content/16737.html
16,खर्च कटौतिया विरोधय् ग्रीसय् आम हडताल ,"Thu Oct 20, 2011  11:10 am","ग्रीसय् खर्च कटौतिया विरोधय् पीच्याघौया आम हडताल न्ह्याकूगु दु । ग्रीसया संसदय् खर्च क्वपालेगु न्हूगु मस्यौदायात कयाः मतदान यायेत्यंगु इलय् पीच्याघौ हडतालाया आह्वान याःगु खः । खर्च क्वपालेगुया न्हूगु मस्यौदाय् कर अप्वयेकूगु, तलब नापं लजगा क्वपालेगु प्रावधान तयातःगु दु ।हडतालया लिच्वः हवाइ, यातायात। आम नागरिक सेवा, सरकारी नापं नीजि संघ संस्थाय् तकं लाःगु दु । ग्रीसय् लिपांगु वालंनिसें विरोध प्रदर्शन अप्वया वनाच्वंगु दु । ग्रीसय् याःगु थुगु हडतालय् सरकारी नापं नीजि लागाया ज्यामि व मजदुरतय्सं ब्वति कयाच्वंगु दु ।",https://www.nepalmandal.com/content/16763.html
17,सत्ताच्यूत सैनिक शासक मुअमर गद्दाफी सित ,"Thu Oct 20, 2011  10:22 pm",लिबियाया सत्ताच्यूत सैनिक शासक मुअमर गद्दाफी थःगु हे गृहनगरय् सिर्तय् सीगु दु । राष्ट्रिय संक्रमणकालीन परिषद्या अधिकारीतय्सं गद्दाफीयात घाःपाः जूगु अवस्थाय् कब्जा काःगु छुं ई लिपा हे गद्दाफी मदुगु खः । परिषदं कब्जाय् काःगु इलय् गद्दाफी गम्भीर घाःपाः जुयाच्वंगु खः । उगु इलय् गद्दाफीया निप्पांगु तुति घाः जुयाः न्यसि हे वनेमफुगु खँ परिषदया अधिकारीतय्सं धाःगु दु । त्रिपोलीपाखें स्वसः व ६० किलोमिटर पूर्वय् लाःगु सिर्तय् सीम्ह गद्दाफी नापं वयाः हे सरकारय् रक्षामन्त्री जुयाच्वम्ह अबु बक्र युनिस नं सीगु दुसाः सरकारया प्रवक्ता इब्राहिमयात धाःसा ज्वंगु दु ।,https://www.nepalmandal.com/content/16780.html
18,ह्याकर विरूद्ध इजरायलं कडा पलाः ल्ह्वनीगु ,"Sun Jan 8, 2012  9:14 pm",इजरायया सरकारं थःगु हजारौं नागरिकतय् क्रेडिट कार्ड ह्याक यानाः विवरण सार्वजनिक याइम्‍ह ह्याकर विरुद्ध कडा पलाः ल्ह्वनीगु जूगु दु । इजरायल सरकारं थ्वः ज्यायात आतंकवादी गतिविधिया संज्ञा बिउसें क्रेडिट कार्डया विवरण अनलाइन मार्फत सार्वजनिक याःम्ह ह्याकरयात मत्वतेगु खँ धाःगु दु । छुं दिं न्ह्यः साउदीया छम्ह ह्याकरं इजरायया नागरिकतय् गोप्य तथ्याङक इन्टरनेट साइटलय् तयाबिगु खः । झण्डै प्यंगू लख नागरिकतय् गोप्य विवरण सार्वजनिक यानाबिउगु थ्व काण्डयात इजरायया अधिकारीतय्सं तःधगु हमलाया कथं काःगु दु । ओक्सोमार नांया ह्याकरं खुया सार्वजनिक याःगु विवरणं तःधःगु आर्थिक क्षति मजूसां खुया काःगु तथ्याङक यहुदी पृथकतावादीतय्सं दुरूपयोग याये फइगु खँ इजरायया प्रहरीं धाःगु दु ।,https://www.nepalmandal.com/content/18048.html
19,ओबामां स्वलाया दुने ६ करोड असी लाख चन्दा मुंकल ,"Fri Jan 13, 2012  12:29 am","अमेरिकी राष्ट्रपति बाराक ओबामा थःगु राष्ट्रपतिय चुनावया लागि सन् २०११ या अन्तिम स्वलाय् ६ करोड असी लाख चन्दा मुंकूगु खँ धाःगु दु । ओबामाया २०१२ चुनावी क्याम्पेन म्यानेजर जीम मेसिन्नां थ्व खँ सार्वजनिक याःगु खः । रिपब्लिकन पार्टीया वया प्रत्यासी उम्मेदवार मीट रोम्नी धाःसा वंगु स्वलाया दुने २ करोड ४० लाख अमेरिकी डलर मुंकूगु धाःगु दु । श्रोतया कथं ओबामां थःगु चुनावी क्याम्पेनया लागि आःतकया दुने २० करोड अमेरिकी डलर मुंके धुंकूगु दु । थुकि मध्यय् ९८ प्रतिशत ध्यबा २५० डलर वा व स्वयां कम चिचीधंगु चन्दां म्हःगु धाःगु दु । लुमंकेबह जू, सन् २००८ या चुनावी क्याम्पेनय् ओबामां ७५ करोड अमेरिकी डलर मुंकूगु खः ।",https://www.nepalmandal.com/content/18118.html
20,आत्मघाती बम बिस्फोटनं इराकय् ५० म्ह मन्त ,"Sun Jan 15, 2012  4:01 am","इराकया दक्षिणी शहर बसराय् शिया तीर्थयात्रीतय्‌त निशाना दयेकाः याःगु आत्मघाती बम हमलाय् लानाः म्होतिं ५० म्ह मनूत सीगु दुसा १०० स्वयां अप्वःम्ह मनूत घाइते जूगु दु । बसरा स्वास्थ्य कार्यालयया निर्देशक रियाद अब्दुल अमीरं न्ह्यथं कथं घटनाय् घाइते जूपिनिगु अवस्था अत्यन्त चिन्ताजनक जुयाच्वंगु दु । पुलिस सूत्रं धाःगु दु, हमला याः वःपिं मनूत पुलिसया वसः पुनाः वःगु खः । घटनाय् लानाः धात्थेंया पुलिसत नं सीगु दु ।  घटनाया विस्त्रृत विवरण वये ल्यं हे दनि तर अन मेगु नं आक्रमण जुइफुगु खँ अनया पुलिसं आशंका याःगु दु ।",https://www.nepalmandal.com/content/18134.html
